id,product_id,brand,product_line,product_class,product_size,list_price,standard_cost
0,0,OHM Cycles,Road,medium,medium,742.54,667.4000244
1,0,Norco Bicycles,Standard,low,medium,363.01,290.41
2,0,OHM Cycles,Road,high,large,12.01,7.21
3,0,Trek Bicycles,Standard,medium,medium,499.53,388.72
4,0,OHM Cycles,Standard,medium,medium,235.63,125.07
5,0,Solex,Standard,medium,medium,478.16,298.72
6,0,OHM Cycles,Standard,low,medium,71.16,56.93
7,0,Trek Bicycles,Standard,high,medium,495.72,297.43
8,0,Norco Bicycles,Road,medium,medium,544.05,376.84
9,0,Giant Bicycles,Standard,medium,medium,230.91,173.18
10,0,OHM Cycles,Standard,high,medium,227.88,136.73
11,0,Giant Bicycles,Standard,medium,large,569.56,528.43
12,0,WeareA2B,Standard,medium,medium,60.34,45.26
13,0,Solex,Road,medium,medium,416.98,312.74
14,0,Norco Bicycles,Standard,medium,medium,360.4,270.3
15,0,WeareA2B,Standard,medium,small,175.89,131.92
16,0,Solex,Standard,medium,large,202.62,151.96
17,0,Trek Bicycles,Road,medium,medium,533.51,400.13
18,1,Giant Bicycles,Touring,medium,large,1873.97,863.95
19,1,Giant Bicycles,Standard,medium,medium,1403.5,954.82
20,2,Giant Bicycles,Road,low,small,590.26,525.33
21,2,Solex,Standard,medium,medium,71.49,53.62
22,3,Trek Bicycles,Standard,medium,large,2091.47,388.92
23,4,Giant Bicycles,Standard,high,medium,1129.13,677.48
24,4,Solex,Standard,medium,medium,1483.2,99.59
25,5,Trek Bicycles,Mountain,low,medium,574.64,459.71
26,5,Giant Bicycles,Standard,high,medium,1129.13,677.48
27,6,OHM Cycles,Standard,high,medium,227.88,136.73
28,6,Solex,Standard,high,medium,748.17,448.9
29,7,Trek Bicycles,Road,low,medium,980.37,234.43
30,7,Giant Bicycles,Standard,medium,small,1311.44,1167.18
31,8,Solex,Road,medium,small,1703.52,1516.13
32,9,Norco Bicycles,Standard,medium,small,1216.14,1082.36
33,9,OHM Cycles,Road,medium,medium,742.54,667.4
34,10,WeareA2B,Touring,medium,medium,1466.68,363.25
35,10,Solex,Standard,medium,medium,1945.43,333.18
36,11,Trek Bicycles,Standard,medium,small,1775.81,1580.47
37,11,Giant Bicycles,Standard,high,medium,1274.93,764.96
38,12,Giant Bicycles,Standard,medium,large,1765.3,709.48
39,12,WeareA2B,Standard,medium,medium,1231.15,161.6
40,13,Solex,Standard,medium,medium,1163.89,589.27
41,14,Solex,Standard,high,large,1842.92,1105.75
42,14,Trek Bicycles,Standard,medium,small,1386.84,1234.29
43,15,Norco Bicycles,Standard,low,medium,958.74,748.9
44,15,WeareA2B,Standard,medium,medium,1292.84,13.44
45,16,Norco Bicycles,Standard,high,small,1661.92,1479.11
46,17,WeareA2B,Touring,medium,large,1362.99,57.74
47,17,Solex,Standard,high,medium,1024.66,614.8
48,18,Solex,Standard,medium,medium,575.27,431.45
49,18,Norco Bicycles,Standard,high,medium,1148.64,689.18
50,19,OHM Cycles,Road,high,large,12.01,7.21
51,19,Trek Bicycles,Mountain,low,medium,574.64,459.71
52,20,Trek Bicycles,Standard,medium,small,1775.81,1580.47
53,21,WeareA2B,Touring,medium,medium,1466.68,363.25
54,21,Solex,Standard,medium,large,1071.23,380.74
55,22,WeareA2B,Standard,medium,medium,60.34,45.26
56,22,Solex,Standard,medium,medium,575.27,431.45
57,23,Norco Bicycles,Mountain,low,small,688.63,612.88
58,23,Norco Bicycles,Standard,medium,medium,1198.46,381.1
59,24,Solex,Road,medium,large,1777.8,820.78
60,25,OHM Cycles,Standard,high,medium,2005.66,1203.4
61,25,Giant Bicycles,Road,medium,medium,1538.99,829.65
